PubmedID,Title,Publication Date,Authors,Company
40018514,Isolated tuberculoma involving multiple paranasal sinuses with aggressive features in an immunocompetent individual masquerading as a malignant neoplasm: A rarity unveiled with review of literature.,2025,"Malik S, Rajat, Ahluwalia C",IDCases
40017488,Ewing Sarcoma Presenting as Fever of Unknown Origin (FUO) in Children: A Case Report and Brief Review of the Literature.,2025,"Arafat H, Zeer ZM, Zeer AM, Noman M, Abdul-Hafez HA, Hammouri AG, Zughayyer A",Clin Med Insights Case Rep
40017214,"[Efficacy and Safety of BeEAM, a Conditioning Regimen for Autologous Stem Cell Transplantation in Malignant Lymphoma].",2025 Feb,"Gou FQ, Li JJ, Zhu JF, Zhu K, Han LL, Wang M, Zhang F",Zhongguo Shi Yan Xue Ye Xue Za Zhi
40017200,[Clinical Analysis of Listeriosis in Treatment of Multiple Myeloma with Novel Agents].,2025 Feb,"Jia J, Liu N, Wu Y",Zhongguo Shi Yan Xue Ye Xue Za Zhi
40017193,[Clinical Characteristics and Prognosis Analysis of Angioimmunoblastic T-Cell Lymphoma].,2025 Feb,"Wang HB, Wang XJ, Guo XH",Zhongguo Shi Yan Xue Ye Xue Za Zhi
40017182,"[The Comparison of Efficacy and Safety between Venetoclax Combined with Demethylating Drugs and the ""3+7"" Drug Regimen for Acute Myeloid Leukemia].",2025 Feb,"Cui N, Wang LJ, Yuan CY",Zhongguo Shi Yan Xue Ye Xue Za Zhi
40015817,Surgical Management of Ulcerative Colitis.,2025 Apr,"Nguyen L, Parra VV",Surg Clin North Am
40014784,Bronchial bacterial colonization and the susceptibility of isolated bacteria in patients with lung malignancy.,2025 Mar 1,"Petrovic S, Beovic B, Tomic V, Bitenc M, Malovrh MM, Dimitric V, Luznik D, Miklavcic M, Bozic T, Gabrovec T, Sadikov A, Rozman A",Radiol Oncol
40012964,Confronting Upside-Down Video-Assisted Thoracic Surgery Approach for Hemorrhagic Bronchogenic Cyst Manifested by Sudden Back Pain.,2025,"Kambe M, Oki T, Iizuka S, Otsuki Y, Nakamura T",Surg Case Rep
40010852,Post-transanal endoscopic microsurgery (TEM) syndrome: a constellation of symptoms resulting from localized inflammatory changes after TEM.,2025 Jan-Feb,"Robertson RL, Johnson GGRJ, Vergis A, Karimuddin A, Phang T, Raval M, Brown C",Can J Surg
40009126,A case of chronic hepatitis B complicated by systemic sarcoidosis that regressed following nucleos(t)ide analog therapy.,2025 Feb 26,"Semba S, Teraoka Y, Kamada H, Kato N, Mizumoto T, Tamaru Y, Hatakeyama T, Yamaguchi A, Kouno H, Yoshida S",Clin J Gastroenterol
40002191,What We Know and Do Not Yet Know About the Canine Model of Lymphoma in Human Medicine-The Current State of Knowledge.,2025 Feb 10,"Będkowska D, Al-Ameri S, Wieczorek A, Bubak J, Miszczak M",Cancers (Basel)
40000048,Immune-mediated TTP secondary to checkpoint inhibitor use in a patient with stage IV melanoma.,2025 Feb 24,"Parekh D, Liu M, Subedi YN, Basnet A",BMJ Case Rep
39998303,Clinical Use of ZSCAN4 for Telomere Elongation in Hematopoietic Stem Cells.,2025 Mar,"Myers KC, Davies SM, Lutzko C, Wahle R, Grier DD, Aubert G, Norris K, Baird DM, Koga M, Ko AC, Amano T, Amano M, Yu H, Ko MSH",NEJM Evid
39996417,FIP1L1::PDGFRA Fusion in a Pediatric Patient Presenting With B-Cell Lymphoblastic Leukemia.,2025 Feb,"Nunn J, Williams B, Deambrosis D",Genes Chromosomes Cancer
39996248,Short-Term Outcomes of Endoscopic Ultrasound-Guided Pancreatic Cyst Ablation: A Systematic Review and Meta-Analysis.,2025,"Al Qady A, Nayar KD, Elmustafa F, Salih M, Emran J, Beirat A, Menakuru S, Harris D, Echols DJ, Ji B, DeWitt JM, Wang Z, Stancampiano FF, Bi Y",Gastro Hep Adv
39994086,Retrospective analysis of clinical features of nivolumab-induced immune-related pancreatitis.,2025 Feb 24,"Pan Y, Li W, Wu Z, Sun W, He B, Wang C",Invest New Drugs
39994029,Neurosurgical site infections: a retrospective monocentric study of pediatric brain tumor patients.,2025 Feb 24,"Enrico G, Fusco E, Palmetti M, Mussa F, Sardi I, Chiappini E, Galli L, Venturini E",Childs Nerv Syst
39993123,Transarterial chemoembolization in hepatocellular carcinoma: exploring its role in vascular invasion and extrahepatic metastasis: A systematic review.,2025 Feb 21,"Usman Younas M, Saeed A, Ramzan M, Junaid Tahir M, Abbasher Hussien Mohamed Ahmed K, Ahmed A",Medicine (Baltimore)
39992085,"Phylogenetic and Genetic Evolution Analysis of Complete SFTSV Genome Sequences in Shandong Province, China.",2025 Mar,"Dong S, Jiao H, Zhao H, Wang L, Peng X, Song L, Sai L",J Med Virol
39991322,Cancer's Metabolic Hijack: The Under-Recognized Hematologic Emergency Related to the Warburg Effect.,2025 Jan,"Li W, Jaga S, Shah S, Cearras M",Cureus
39991218,Clinical features of cystic neutrophil granulomatous mastitis in 62 cases.,2025 Feb 15,"Wang M, Zhang D, Fu N, Liu M, Zhang H, Feng S, Zeng Y, Zhao W, Cui J, Mansoor KM",Heliyon
39990678,Late-onset and relapsed cytokine release syndrome after nivolumab treatment in a patient with head and neck squamous cell carcinoma: a case report.,2025,"Otsuka T, Kojitani Y, Imamura F, Fukutake J, Nishio M, Fujii T, Kudo T",Front Oncol
39984354,Metabolic and stress response adaptations in T cells to fever and physiological heat.,2025 Feb 20,"Wilander BA, Rathmell JC",Trends Immunol
39984148,Immune checkpoint inhibitor-related CNS vasculitis - A systematic review and report of 6 cases.,2025 Feb 19,"Erritzøe-Jervild M, Møller SN, Kruuse C, Stenør C",J Stroke Cerebrovasc Dis
39983092,Chorioretinitis following Bacillus Calmette-Guerin Treatment for Bladder Cancer.,2025 Feb 14,"Boopathiraj N, Wagner IV, Powers R, Mashayekhi A",Retin Cases Brief Rep
39982694,Association of genetic liability to allergic diseases with overall and early-onset colorectal cancer risk: a Mendelian randomization study.,2025 Feb 21,"Alduhayh S, Laskar RS, Jiang X, Zhu Z, Vincent EE, Constantinescu AE, Buchanan DD, Grant RC, Phipps AI, Brenner H, Huang WY, Kweon SS, Li L, Pearlman R, Castellví-Bel S, Gruber SB, Li CI, Pellatt A, Platz EA, Van Guelpen B, Zheng W, Chan AT, Figueiredo JC, Ogino S, Ulrich CM, Gunter MJ, Haycock P, Severi G, Murphy N, Dimou N",Cancer Epidemiol Biomarkers Prev
39981948,A robust fluorogenic substrate for chikungunya virus protease (nsP2) activity.,2025 Mar,"Makhaik S, Rut W, Choudhary S, Upadhyay T, Hao C, Westberg M, Bobst C, Yoo E, Fejzo J, Lin MZ, Bogyo M, Thompson P, Drag M, Hardy JA",Protein Sci
39981240,Successful sequential therapy with rituximab and telitacicept in refractory Anti-NMDA receptor encephalitis and MOG-associated demyelination: a case report and literature review.,2025,"Zhang J, Hu M, Wang C, Guo S",Front Immunol
39979069,Phase I dose-escalation and pharmacodynamic study of STING agonist E7766 in advanced solid tumors.,2025 Feb 20,"Luke JJ, Pinato DJ, Juric D, LoRusso P, Hosein PJ, Desai AM, Haddad R, de Miguel M, Cervantes A, Kim WS, Marabelle A, Zhang Y, Rong Y, Yuan X, Champiat S",J Immunother Cancer
39978753,Bloodstream infection caused by Vibrio plantisponsor in an immunocompromised patient: diagnostic challenges and clinical implications.,2025 Feb 18,"Huang BM, Chen PL, Li MC, Ko WC, Lee NY",Int J Infect Dis
39978056,Assessing the role of bronchoscopy in the management of patients with acute leukemia-a transversal study and proposal of evaluation.,2025 Feb 19,"Oliveira JVR, Cano CWA, Júnior JVMF, Barreto GC, Mendes FR, de Melo RCB, Velloso EDRP, Rocha V, Rego EM, Silva WFD",Hematol Transfus Cell Ther
39973942,2024 update of the AGIHO guideline on diagnosis and empirical treatment of fever of unknown origin (FUO) in adult neutropenic patients with solid tumours and hematological malignancies.,2025 Apr,"Sandherr M, Stemler J, Schalk E, Hattenhauer T, Hentrich M, Hertenstein B, Hohmann C, Mellinghoff SC, Mispelbaum R, Rieger C, Schmidt-Hieber M, Sprute R, Weiss G, Cornely OA, Henze L, Lass-Floerl C, Beutel G, Classen AY, Freise NF, Karthaus M, Koehler P, Krause R, Neuhann J, Orth HM, Penack O, Schaich M, Spiekermann K, Voigt S, Weissinger F, Busch E",Lancet Reg Health Eur
39969561,[An abscess gone astray].,2025 Feb 19,"Seidl H, Thormählen L, Pollak M, Walter-Rittel T, Hättasch R, Hindricks G",Inn Med (Heidelb)
39965765,Special Issue on CDS Failures: Clinical Decision Support to Reduce Hospital Length-of-Stay for Cancer Patients with Fever and Neutropenia.,2025 Feb 18,"Yarahuan J, Kandaswamy S, Ray E, LeRoux R, Liang W, Orenstein E, Stokes CL",Appl Clin Inform
39965623,[Hydroxyurea-resistant primary erythrocytosis in a juvenile mixed-breed bitch].,2025 Feb,"Graf J, Buder A",Tierarztl Prax Ausg K Kleintiere Heimtiere
39960716,Chronic myeloid leukemia during pregnancy complicated by dengue infection and pulmonary embolism.,2024 Oct 1,"Wickramasinghe W, Weerawardena A, Ranaweera P, Gooneratne L, Wijeyaratne C",Indian J Cancer
39959744,Orostachys japonicus induce caspase-dependent apoptosis in HeLa human cervical cancer cells.,2025 Feb,"Kim SH, Lee DS",Nutr Res Pract
39958042,Systemic Bacillus Calmette-Guérin (BCG) Infection in a Patient With Non-Muscle-Invasive Bladder Cancer: A Case Report.,2025 Jan,"Ramoa Oliveira AS, Afonso R, Macedo E, Silvério B, Oliveira A",Cureus
39957715,Epstein-Barr Virus-Associated Pneumonia in a Healthy Adult Presenting With Pulmonary Nodules and Deep Vein Thrombosis: A Case Report and Literature Review.,2025 Feb,"Tabarsi P, Hemmatian M, Moradi M",J Med Virol
39950120,Should miliary tuberculosis be considered as a possible cause of infertility in the new era: a case report and literature review.,2025,"Cvetkovic A, Blanka Protic A, Jovanovic J, Adzic Vukicevic T",Front Med (Lausanne)
39950095,A Case of Concomitant Lung Adenocarcinoma and Pleural Metastasis of Papillary Thyroid Carcinoma With BRAF V600E Mutation.,2025 Feb,"Atsumi A, Tani T, Ishioka K, Nishikawa K, Okamoto Y, Takahashi S",Respirol Case Rep
39949007,[A Resected Case of the Pancreatic Tail Cancer Invading the Surrounding Organs with Splenic Abscess].,2024 Dec,"Hirota M, Shimizu H, Nojima H, Oka Y, Yamazaki M, Usui A, Mori M, Kosugi C, Shuto K, Koda K",Gan To Kagaku Ryoho
39948990,[A Case of Rectal Cancer Resection with Total Cystectomy That Avoided a Double Stoma].,2024 Dec,"Sugimoto S, Paku M, Nagai K, Fukuchi N, Miyazaki K, Tachibana A, Toyoshima Y, Matsumoto Y",Gan To Kagaku Ryoho
39948984,[A G-CSF-Producing Adenosquamous Carcinoma of the Gallbladder with Early Postoperative Recurrence and Rapid Growth-A Case Report].,2024 Dec,"Yokota T, Arai S, Uno H, Nishida T, Okawa K, Gochi E",Gan To Kagaku Ryoho
39948947,[Edwardsiella tarda Bacteremia in the Setting of Recurrence at the Hepatic Hilum after Surgery for Lower Bile Duct Cancer-A Case Report].,2024 Dec,"Ota H, Hoshino H, Yamashita S, Ikushima H, Mizuno H",Gan To Kagaku Ryoho
39948945,[A Case of Colonic Diverticulosis with Retroperitoneal Abscess Caused by Bevacizumab for Chemotherapy of Colon Cancer].,2024 Dec,"Tsukada M, Kawamata T, Yamauchi N, Sato N, Osuka F, Endo G",Gan To Kagaku Ryoho
39948899,"[A Case of Synchronous Triple Cancer of the Sigmoid Colon, Breast, and Lung].",2024 Dec,"Henmi S, Takada K, Matsuda H, Kikukawa Y, Nishikawa M, Kouchi A, Kouhashi R, Goto W, Tauchi Y, Ogisawa K, Morisaki T, Kashiwagi S",Gan To Kagaku Ryoho
39948887,[A Case of Triple-Negative Breast Cancer with irAE-Induced Enteritis Caused by a PD-1 Inhibitor].,2024 Dec,"Sawatsubashi T, Sakakibara K, Saito K, Yagi R, Ishikawa T, Nakatsuka H, Nihei K",Gan To Kagaku Ryoho
39948860,[A Case of Huge Infectious Gastrointestinal Stromal Tumor of the Stomach Undergoing Primary Tumor Resection after Endoscopic Drainage].,2024 Dec,"Okura T, Tsuchida K, Mizutani M, Kubota R, Sugiyama A, Kinoshita S, Miyake M, Honjoh Y, Kamiya M, Nakazono M, Murakami T, Ueda M, Hasegawa S, Mushiake H, Saito A",Gan To Kagaku Ryoho
39947946,Safety and efficacy of intravesical Bacillus Calmette-Guerin instillation for superficial recurrence following bladder-sparing therapy of muscle invasive bladder cancer: A retrospective study.,2025 Feb 12,"Du G, Guan Y, Xie R, Li C, Liu Y, Zhou A, Bi X, Shi H, Shou J",Urol Oncol
39945750,Clinical manifestations and pathogenicity of Clade IIb monkeypox virus in rabbits.,2025 Dec,"Shang C, Shi S, Jiang Q, Wang X, Yao X, Li W, Song G, Li Y, Sun Y, Hu J, Zhang C, Zhu Y, Liu Z, Gu C, Liu Y, Shi W, Zhao Z, Li X",Emerg Microbes Infect
39941818,Analysis and Historical Evolution of Paediatric Bone Tumours: The Importance of Early Diagnosis in the Detection of Childhood Skeletal Malignancies.,2025 Jan 28,"Iacobellis G, Leggio A, Salzillo C, Lucà S, Ortega-Ruiz R, Marzullo A",Cancers (Basel)
39939437,Proteasome inhibitor-associated thrombotic microangiopathy: a real-world retrospective and pharmacovigilance database analysis.,2025 Feb 13,"Deng Z, Wang S, Wang C",Support Care Cancer
39938525,Basal T cell activation predicts yellow fever vaccine response independently of cytomegalovirus infection and sex-related immune variations.,2025 Feb 18,"Santos-Peral A, Zaucha M, Nikolova E, Yaman E, Puzek B, Winheim E, Goresch S, Scheck MK, Lehmann L, Dahlstroem F, Karimzadeh H, Thorn-Seshold J, Jia S, Luppa F, Pritsch M, Butt J, Metz-Zumaran C, Barba-Spaeth G, Endres S, Kim-Hellmuth S, Waterboer T, Krug AB, Rothenfusser S",Cell Rep Med
39937320,Primary capicua transcriptional repressor-rearranged sarcoma in the thyroid gland with cervical lymph node and lung metastases: a case report and literature review.,2025 Feb 12,"Wang L, Liu W, Tang W, Ma Y, Liu XB, Liu F",Discov Oncol
39935681,"Clinical characteristics, diagnosis, treatment, and prognosis of Atezolizumab-induced encephalitis, aseptic meningitis or meningoencephalitis.",2025,"Yan Q, Hu Y, Liu X, Xia H",Front Hum Neurosci
39926861,"A Prospective, Observational Study on Adverse Drug Reactions in Hospitalized Pediatric Cancer Patients in a Tertiary Care Teaching Hospital.",2024 Dec,"Khajuria N, Menia N, Gupta S",J Pharm Bioallied Sci
39924208,[Long-term remission achieved with allogeneic hematopoietic stem cell transplantation at first complete remission in a pediatric patient with TCF7::SPI1 fusion-positive T-cell acute lymphoblastic leukemia].,2025,"Noguchi M, Yamasaki K, Azuma S, Kikuchi N, Nitani C, Okada K, Kiyokawa N, Isobe K, Takita J, Fujisaki H, Hara J",Rinsho Ketsueki
39924201,[Intravascular large B-cell lymphoma presenting as subacute progressive myelopathy].,2025,"Doi K, Nonohara Y, Sakamoto S, Kitano T",Rinsho Ketsueki
39920797,"Prevalence of malaria and associated factors among febrile children under 15 years at Bududa General Hospital, Eastern Uganda.",2025 Feb 7,"Okongo B, Asiimwe D, Olong C, Muwanguzi E, Wagubi R",Malar J
39910037,The oncolytic adenovirus TILT-123 with pembrolizumab in platinum resistant or refractory ovarian cancer: the phase 1a PROTA trial.,2025 Feb 5,"Block MS, Clubb JHA, Mäenpää J, Pakola S, Quixabeira DCA, Kudling T, Jirovec E, Haybout L, van der Heijden M, Zahraoui S, Grönberg-Vähä-Koskela S, Raatikainen S, Arias V, Basnet S, Ojala N, Pellinen T, Hemmes A, Välimäki K, Pasanen A, Alanko T, Adamo D, Ramadan S, Sormunen J, Kononen J, Cohen JW, Chisamore MJ, Goldfinch J, Sorsa S, Havunen R, Kistler C, Kalervo A, Cervera-Carrascon V, Dos Santos JM, Hemminki A",Nat Commun
39909718,Clinical presentation of bone tumours in children and young people: a systematic review and meta-analysis.,2025 Feb 5,"Liu JF, Shanmugavadivel D, Ball-Gamble A, Walker D",Arch Dis Child
39907793,Strategies to manage the adverse effects of immunotherapy with dinutuximab beta in neuroblastoma: an Italian experience and literature review.,2025 Feb 5,"Amoroso L, Fagioli F, Tondo A, Conte M, Badino C, Di Cataldo A, Viscardi E, De Leonardis F, De Ioris MA, Luksch R",Support Care Cancer
39907035,"A Phase 2 Study of Sotigalimab, a CD40 Agonist Antibody, plus Concurrent Chemoradiation as Neoadjuvant Therapy for Esophageal and Gastroesophageal Junction Cancers.",2025 Feb 1,"Ko AH, Chao J, Noel MS, Shankaran V, Sohal D, Crow M, Oberstein PE, Scott AJ, McRee AJ, Rocha Lima CMSP, Fong L, Keenan BP, Soto M, Filbert EL, Hsu FJ, Yang X",Cancer Res Commun
39906751,A Case of Non-Anastomotic Tracheo-Thoracic Gastric Fistula.,2025 Feb,"He W, Wu T, Huang Q, An W, Chen H, Hu X",Respirol Case Rep
39906087,Maternal and neonatal outcomes in women with COVID-19: A retrospective cohort study.,2024 Oct,"Nourollahpour Shiadeh M, Zare O, Moosazadeh M, Kiapour A, Elyasi S",Int J Reprod Biomed
39904763,"Clinical features, procalcitonin concentration, and bacterial infection in febrile hospitalized cancer patients: a descriptive study and association analysis.",2025 Feb 4,"Patipatdontri P, Kajeekul R, Thanestada J",Support Care Cancer
39904560,"Phase I study of intratumoral administration of CV8102 in patients with advanced melanoma, squamous cell carcinoma of the skin, squamous cell carcinoma of the head and neck, or adenoid cystic carcinoma.",2025 Feb 4,"Eigentler T, Thomas I, Samoylenko I, Erdmann M, Heinzerling L, Ochsenreither S, Krauss J, Oberoi A, Robert C, Lebbe C, Martin-Liberal J, Koch L, Richtig E, Terheyden P, Weishaupt C, Mohr P, Semiletova Y, Perez CL, Brossart P, Bauernfeind FG, Fluck M, Poltoratskiy A, Sekacheva M, Soria A, Schmitt-Bormann B, Gonzalez M, Heß J, Wengenmayer P, Seibel T, Koch SD, Quintini G, Codó P, Falk M, Schönborn-Kellenberger O, Gnad-Vogt U",J Immunother Cancer
39903434,Myelodysplastic neoplasms with repeating TAFRO syndrome-like symptoms.,2025 Feb 4,"Hayashino K, Fujii N, Nagano T, Ikeda D, Fujiwara K, Hashida R, Kitamura W, Kobayashi H, Kondo T, Seike K, Fujiwara H, Asada N, Ennishi D, Fujii K, Matsuoka KI, Maeda Y",Int J Hematol
39900911,"Anti-Ebola virus mAb 3A6 protects highly viremic animals from fatal outcome via binding GP((1,2)) in a position elevated from the virion membrane.",2025 Feb 3,"Hastie KM, Salie ZL, Ke Z, Halfmann PJ, DeWald LE, McArdle S, Grinyó A, Davidson E, Schendel SL, Hariharan C, Norris MJ, Yu X, Chennareddy C, Xiong X, Heinrich M, Holbrook MR, Doranz B, Crozier I, Kawaoka Y, Branco LM, Kuhn JH, Briggs JAG, Worwa G, Davis CW, Ahmed R, Saphire EO",Nat Commun
39900390,Obstructive uropathy secondary to metastasis from carcinoma of the breast.,2025 Feb 3,"Shubhankar G, Panwar VK, Mittal A",BMJ Case Rep
39898289,Primary lymphoma of the uterine cervix: A systematic review and integrated analysis of case reports and series.,2025 Mar,"Kechagias KS, Bobotis S, Shearer A, Ellis LB, Stephens SM, Bowden SJ, Kalliala I, Kalofonou F, Lyons D, Mitra A, Galani A, Paraskevaidi M, Kyrgiou M",Oncol Lett
39897740,B-cell lymphoblastic lymphoma patient presenting with life threatening ruptured mycotic aneurysm of internal iliac artery.,2025 Apr,"Malik M, Naveed MA, Asif MA, Siddique K, Kanwal U",Radiol Case Rep
39895539,Guidelines for the management of drug-induced hypersensitivity syndrome 2023.,2025 Mar,"Mizukawa Y, Hama N, Niihara H, Miyagawa F, Hashizume H, Tohyama M, Takahashi H, Watanabe H, Ohyama M, Yamaguchi Y, Kawamura T, Nomura T, Kabashima K, Sueki H, Morita E, Abe R, Asada H",J Dermatol
39891087,"Molecular and serological investigation of hepatitis B virus in patients with acute undifferentiated febrile illness at Tha Song Yang hospital, Tak Province, Thailand.",2025 Jan 31,"Thippornchai N, Sae-Oueng A, Jittmittraphap A, Nguitragool W, Leaungwutiwong P",BMC Infect Dis
39890595,Sensitivity of Coccidioides serologic tests among culture-proven coccidioidomycosis patients with hematological malignancy compared to a matched immunocompetent cohort.,2025 Jan 25,"Al-Obaidi MM, Rao A, Marco T, Srivastava R, Kuzmin P, Nematollahi S, Zangeneh TT",Med Mycol
39889786,Pediatric Lymphomas: Key Concepts and Clinical Approaches for Pediatricians.,2025 Feb 1,"Catueno S, Cuglievan B",Pediatr Rev
39886955,Radiologic placement of totally implantable venous access devices: Outcomes and complications from a large oncology cohort.,2024 Dec 3,"Tashi S, Tan AB, Chua JME, Lim GH, Venkatanarasimha N, Chandramohan S",Ann Acad Med Singap
39886145,Characterisation of clinical response and transcriptional profiling of proliferating CD8 T cells in the blood of cancer patients after PD-1 monotherapy or combination therapy.,2024,"Obeng RC, Nasti TH, Martens K, Li P, Mariniello A, Chang DY, Eberhardt CS, McGuire D, Kissick H, Daugherty C, Zhang Y, Wieland A, Chen Z, Switchenko JM, Pillai R, Kamphorst AO, Leonard WJ, Ahmed R, Ramalingam SS",BMJ Oncol
39885528,"Postoperative fever following surgery for oral cancer: Incidence, risk factors, and the formulation of a machine learning-based predictive model.",2025 Jan 30,"Zhang Y, Long K, Gong Z, Dai R, Zhang S",BMC Oral Health
39881879,Case report: Tocilizumab for hypersensitivity reaction after oxaliplatin in a patient with NK/T-cell lymphoma.,2024,"Liao J, Jiang M",Front Pharmacol
39881776,Adult onset wilms tumor.,2025 Mar,"Parameswaran M, Friedmann AM, Cote GM, Salari K, Harisinghani MG, Cochran RL",Radiol Case Rep
39877720,Urethrocutaneous fistula and subcutaneous abscess in the inguinal region with bacteremia caused by Bilophila wadsworthia in a Japanese patient: A case report.,2025,"Furuya K, Itoh N",IDCases
39875158,Incidentally discovered inflammatory pseudotumour of the spleen: understanding clinical manifestations and diagnosis.,2025 Jan 28,"Quinn D, Morocho B, Bertsch D",BMJ Case Rep
39875151,Uterine preservation in pyomyoma complicating uterine artery embolisation.,2025 Jan 28,"Choudhury S, Gupta A, Sethi A, Kumar A",BMJ Case Rep
39874306,Association of preoperative body mass index with postoperative complications and survival for patients with gastric cancer: A systematic review and meta-analysis.,2025,"Li Z, Cui L, Sun J, Liu W",PLoS One
39873801,[Pathology of the spleen : Differential diagnosis of splenomegaly].,2025 Feb,"Marx A, Ströbel P",Pathologie (Heidelb)
39873401,Meta Analysis of Efficacy and Safety of Prostate Biopsy: A Comparison Between Transperineal and Transrectal Approach.,2025 Jan 3,"Mirsya Warli S, Rizky Valentino Torry S, Dharma Kadar D, Putra Siregar G, Febrian Prapiska F",Urol Res Pract
39873055,A scientometric study on research trends and characteristics of discoid lupus erythematosus.,2025 Jan,"Wang Y, Zhu Y, Zhang C, Liu W",J Dent Sci
39868693,Multifractal Spectrum Analysis for Assessing Pulmonary Nodule Malignancy.,2025 Jan 10,"Wang B, Xu Y, Xing F, Liang T",J Vis Exp
39868651,Impact of Hepatoblastoma on Infectious Complications Following Pediatric Liver Transplantation.,2025 Feb,"Hall AD, Hendricks HA, Bowers KA, Geller JI, Bondoc AJ, Tiao GM, Taylor AE, Otto WR, Paulsen GC, Danziger-Isakov LA",Pediatr Transplant
