PubmedID,Title,Publication Date,Authors,Company
39848104,Structural insights into nucleocapsid protein variability: Implications for PJ34 efficacy against SARS-CoV-2.,2025 Mar,"Yamamoto A, Ito H, Sakaguchi T, Higashiura A",Virology
39838541,Colorectal Cancer Surgery at a Regional Cold Site Centre During the SARS-CoV-2 Pandemic: A Comparison With Prepandemic Practices.,2025 Jan 21,"Soop M, Anderin K, Syk E, Nygren J, Segelman J",J Surg Oncol
39833135,"Public knowledge, attitudes, and practices regarding antibiotics use and resistance in Montenegro.",2025 Jan 20,"Raicevic M, Labovic Barjaktarovic S, Milic D, Nedovic Vukovic M, Bajceta N",Eur J Public Health
39827305,A lyophilised formulation of chimpanzee adenovirus vector for long-term stability outside the deep-freeze cold chain.,2025 Jan 18,"Mathot F, Lefebvre E, Francq BG, Guillaume D, Bourlès E",Commun Med (Lond)
39817773,Vaccination against SARS-CoV-2 provides low-level cross-protection against common cold coronaviruses in mouse and non-human primate animal models.,2025 Feb 25,"Naghibosadat M, Babuadze GG, Pei Y, Hurst J, Salvant E, Gaete K, Biondi M, Moloo B, Goldstein A, Avery S, Ma K, Pietraszek A, Wootton SK, Alhaboub A, Martin B, Mubareka S, Corredor J, Sultana A, Adeekoa A, Budylowski P, Ostrowski M, Chao J, Nagy E, Kozak R",J Virol
39816364,"Bioinformatics and molecular biology tools for diagnosis, prevention, treatment and prognosis of COVID-19.",2024 Jul 30,"Meira DD, Zetum ASS, Casotti MC, Campos da Silva DR, de Araújo BC, Vicente CR, Duque DA, Campanharo BP, Garcia FM, Campanharo CV, Aguiar CC, Lapa CA, Alvarenga FDS, Rosa HP, Merigueti LP, Sant'Ana MC, Koh CWT, Braga RFR, Cruz RGCD, Salazar RE, Ventorim VDP, Santana GM, Louro TES, Louro LS, Errera FIV, Paula F, Altoé LSC, Alves LNR, Trabach RSDR, Santos EVWD, Carvalho EF, Chan KR, Louro ID",Heliyon
39809088,Examining homology between MPXV and immunogenic VACV-derived peptides.,2025 Feb 27,"Teodoro LI, Ovsyannikova IG, Poland GA, Kennedy RB",Vaccine
39803741,Vitamin C for the common cold and pneumonia.,2025 Jan 30,"Hemilä H, Chalker E",Pol Arch Intern Med
39789551,Optimizing vaccine uptake in sub-Saharan Africa: a collaborative COVID-19 vaccination campaign in Madagascar using an adaptive approach.,2025 Jan 9,"Pavoncello V, Kislaya I, Andrianarimanana DK, Marchese V, Rakotomalala R, Rasamoelina T, Veilleux S, Guth A, Zafinimampera AOT, Ratefiarisoa S, Totofotsy O, Doumbia CO, Rakotonavalona R, Ramananjanahary H, Randriamanantany ZA, May J, Rakotoarivelo RA, Puradiredja DI, Fusco D",Implement Sci
39764339,Coexistence of Cold Agglutinin and Cryoglobulin in a Patient With Severe Anemia Following COVID-19 Infection.,2024 Dec,"Kaneko M, Masuda Y, Ishikawa K, Shikata H",Cureus
39763550,COVID-19 Reproduction Numbers and Long COVID Prevalences in California State Prisons.,2024 Dec 23,"Worden L, Wannier R, Archer H, Blumberg S, Kwan A, Sears D, Porco TC",medRxiv
39743545,The guided fire from within: intratumoral administration of mRNA-based vaccines to mobilize memory immunity and direct immune responses against pathogen to target solid tumors.,2025 Jan 2,"Li R, Hu JC, Rong L, He Y, Wang X, Lin X, Li W, Wu Y, Kuwentrai C, Su C, Yau T, Hung IF, Gao X, Huang JD",Cell Discov
39741335,Coinfection of severe acute respiratory syndrome coronavirus 2 and polyomavirus in a patient with coronavirus disease 2019 detected by enrichment next-generation sequencing: a case report.,2024 Dec 31,"Gunadi, Geometri ET, Adhityo P, Abidin AZ, Marcellus, Puspitarani DA, Utami FDT, Iskandar K, Wibawa H, Hakim MS",J Med Case Rep
39739986,Development and application of decontamination methods for the re-use of laboratory grade plastic pipette tips.,2024,"Lee SH, Kastor W, Fu X, Soni V, Keidar M, Donohue M, Wood S, Karunasena E",PLoS One
39734395,Mapping two decades of research in rheumatology-specific journals: a topic modeling analysis with BERTopic.,2024,"Madrid-García A, Freites-Núñez D, Merino-Barbancho B, Pérez Sancristobal I, Rodríguez-Rodríguez L",Ther Adv Musculoskelet Dis
39702060,Evaluation of effect of cooled haemodialysis on cognition in patients with end-stage kidney disease (ECHECKED) feasibility randomised controlled trial results.,2024 Dec 19,"Dasgupta I, Odudu A, Baharani J, Fergusson N, Griffiths H, Harrison J, Hameed A, Maruff P, Ryan L, Thomas N, Woodhall G, Tadros G",BMC Nephrol
39699237,Human coronaviruses: activation and antagonism of innate immune responses.,2024 Dec 19,"Tanneti NS, Stillwell HA, Weiss SR",Microbiol Mol Biol Rev
39698276,Repurposing Drugs and Synergistic Combinations as Potential Therapies for Inhibiting SARS-CoV-2 and Coronavirus Replication.,2024 Dec 13,"Boulon R, Mazeaud C, Farahani MD, Broquière M, Iddir M, Charpentier T, Anton A, Ayotte Y, Woo S, Lamarre A, Chatel-Chaix L, LaPlante SR",ACS Pharmacol Transl Sci
39673054,Retrospective longitudinal study on the long-term impact of COVID-19 infection on polysomnographic evaluation in patients with Prader-Willi syndrome.,2024 Dec 13,"Braun S, Laemmer C, Schulte S, Gohlke B",Orphanet J Rare Dis
39670904,Treatment of symptomatic endobronchial hamartoma by bronchoscopy.,2024 Dec 13,"Cano ME, Pagnoncelli Fachin F, Felicetti JC",Rev Fac Cien Med Univ Nac Cordoba
39666578,Hypertonic saline nasal irrigation and gargling for suspected or confirmed COVID-19: Pragmatic randomised controlled trial (ELVIS COVID-19).,2024 Dec 13,"Yusuf OM, Ramalingam S, Norrie J, Graham C, Kakakhail A, Rextin AT, Baig RT, Yusuf SO, Ahmad B, Zahra S, Sheikh A",J Glob Health
39662828,Glutamine metabolism is essential for coronavirus replication in host cells and in mice.,2025 Jan,"Greene KS, Choi A, Yang N, Chen M, Li R, Qiu Y, Ezzatpour S, Rojas KS, Shen J, Wilson KF, Katt WP, Aguilar HC, Lukey MJ, Whittaker GR, Cerione RA",J Biol Chem
39659746,Serological analyses against endemic human coronaviruses and SARS-CoV-2 in children and adults using samples collected before the COVID-19 pandemic.,2024 Dec,"Sayama Y, Lo C, Tomizawa H, Saito M, Okamoto M, Ohmiya S, Nishimura H, Oshitani H",IJID Reg
39652590,Emerging mutation in SARS-CoV-2 facilitates escape from NK cell recognition and associates with enhanced viral fitness.,2024 Dec,"Bilev E, Wild N, Momayyezi P, Sala BM, Sun R, Sandalova T, Marquardt N, Ljunggren HG, Achour A, Hammer Q",PLoS Pathog
39652075,Comparison of headache and facial pain prevalence and phenotype in upper respiratory tract infections of differing origins - a cross-sectional study.,2024,"Straburzyński M, Waliszewska-Prosół M",Neurol Neurochir Pol
39630559,Frostbite on Denali: a case series and review of treatment options.,2024 Dec 2,Johnson-Arbor KK,J Wound Care
39624484,Utilizing HCoV-OC43 to better understand the neurological impact of COVID-19.,2024 Dec,LaCourse C,Brain Behav Immun Health
39613663,Identification of tumor-antigen signatures and immune subtypes for mRNA vaccine selection in muscle-invasive bladder cancer.,2025 Feb,"Xu Z, Wu Y, Bai Y, Chen X, Fu G, Jin B",Surgery
39607548,Critical analysis of Echinacea preparations marketed in Germany.,2024 Nov 28,"Groß C, Seifert R",Naunyn Schmiedebergs Arch Pharmacol
39606690,A randomized controlled clinical trial of a Wim Hof Method intervention in women with high depressive symptoms.,2024 Nov,"Blades R, Mendes WB, Don BP, Mayer SE, Dileo R, O'Bryan J, Fromer E, Guan JY, Cheng SS, Mason AE, Prather AA, Epel ES",Compr Psychoneuroendocrinol
39600390,The effectiveness of home-based transcranial direct current stimulation on chronic pain: A systematic review and meta-analysis.,2024 Jan-Dec,"Antonioni A, Baroni A, Fregna G, Ahmed I, Straudi S",Digit Health
39591549,Coordination Compounds as Antivirals against Neglected Tropical Diseases.,2024 Nov 26,"Rezende WS, Neto AM, Corbi JJ, Corbi PP, de Paiva REF, Bergamini FRG",ChemMedChem
39571172,Genomic determinants in pathogenicity of SARS-CoV-2 versa common cold coronaviruses.,2024 Nov 21,"Arab-Bafrani Z, Nikoubin-Boroujeni M, Ebrahimi S, Teimoori A, Heidari E, Mousavi E",Nucleosides Nucleotides Nucleic Acids
39563778,Effects of high-intensity interval training in a cold environment on arterial stiffness and cerebral hemodynamics in sedentary Chinese college female students post-COVID-19.,2024,"Chen X, Hu N, Han H, Cai G, Qin Y",Front Neurol
39547272,Wastewater sample storage for physicochemical and microbiological analysis.,2025 Feb,"Webster G, Dighe SN, Perry WB, Stenhouse EH, Jones DL, Kille P, Weightman AJ",J Virol Methods
39539274,Amaryllidaceae Alkaloids Screen Unveils Potent Anticoronaviral Compounds and Associated Structural Determinants.,2024 Nov 8,"Merindol N, Belem Martins LL, Elfayres G, Custeau A, Berthoux L, Evidente A, Desgagné-Penix I",ACS Pharmacol Transl Sci
39525081,Revealing SARS-CoV-2 M(pro) mutation cold and hot spots: Dynamic residue network analysis meets machine learning.,2024 Dec,"Barozi V, Chakraborty S, Govender S, Morgan E, Ramahala R, Graham SC, Bishop NT, Tastan Bishop Ö",Comput Struct Biotechnol J
39531975,Green spectrophotometric approaches applied to tertiary mixture for management of common cold and COVID-19 symptoms.,2025 Feb 15,"Soliman RM, Mostafa NM, Fayez YM, Monir HH, Rostom Y",Spectrochim Acta A Mol Biomol Spectrosc
39522445,Effects of the COVID-19 pandemic on the providers of oncological abdominal surgery services- a scoping review.,2025 Mar,"Madi M, Heise M, Rieder L, Mattern E, Ronellenfitsch U, Steckelberg A",Am J Surg
39521845,Factors associated with outcome in a national cohort of rhinovirus hospitalized patients in Brazil in 2022.,2024 Nov 9,"Sardinha DM, Silva MJA, Lima KVB, Lima LNGC",Sci Rep
39517439,Cold Consolidation of Pharmaceutical Waste Glass Powders Through Alkali Activation and Binder Jet 3D Printing.,2024 Oct 23,"Elsayed H, Gobbin F, Barci A, Bernardo E, Colombo P",Materials (Basel)
39512629,Increased Incidence of Rhinovirus Pneumonia in Children During the COVID-19 Pandemic in Mexico.,2024,"Ortega-Vargas FY, Herrera-González AA, Díaz-Torres IA, Cabrera-Takane ID, Bautista-Carbajal P, García-León ML, Noyola DE, Juárez-Tobías MS, Tabla-Orozco V, Martínez-Arce PA, Espinosa-Sotero MDC, Martínez-Aguilar G, Rojas-Larios F, Salazar-Soto LA, Wong-Chew RM",Adv Virol
39499753,Stability of SARS-CoV-2 antibody in serum under various usage and storage conditions.,2024 Sep 30,"Hacıseyitoğlu D, Yılmaz Ş, Erdoğan F, Cömert F",J Infect Dev Ctries
39493623,Association Between Short-Term Exposure to Air Pollutants and Emergency Attendance for Upper Gastrointestinal Bleeding in Hong Kong: A Time-Series Study.,2024 Nov,"Li YH, Tong Tan J, Hwa Ooi P, Jiang F, Kan H, Leung WK",Geohealth
39484497,Long-term Immunity of a Microneedle Array Patch of SARS-CoV-2 S1 Protein Subunit Vaccine Irradiated by Gamma Rays in Mice.,2024 Oct 25,"Kim E, Khan MS, Shin J, Huang S, Ferrari A, Han D, An E, Kenniston TW, Cassaniti I, Baldanti F, Jeong D, Gambotto A",bioRxiv
39488720,Next Generation RNA/Protein-Carrying Vector With Pleiotropic Activity.,2024 Nov,"Nosaka T, Ohtsuka J, Ohtsuka T, Fukumura M",Rev Med Virol
39478146,A spatial hierarchical network learning framework for drug repositioning allowing interpretation from macro to micro scale.,2024 Oct 30,"Ren Z, Zeng X, Lao Y, Zheng H, You Z, Xiang H, Zou Q",Commun Biol
39472036,"Right Information, Right Care, Right Patient, Right Time: Community Preferences to Inform a Self-Management Support Tool for Upper Respiratory Symptoms.",2025 Jan,"Gutnick D, Lutz C, Mani KA, Weldon CB, Trosman JR, Rapkin B, Jinnett K, Fleurimont J, Kaur S, Jariwala SP",Appl Clin Inform
39468457,Severe co-infection caused by difficult-to-diagnose hypermucoviscous Klebsiella pneumoniae K1-ST82 in a patient with COVID-19: a case report.,2024 Oct 28,"Itoga M, Hayashi W, Kayama S, Yu L, Sugawara Y, Kimura M, Hanada H, Tasaka S, Sugai M",BMC Infect Dis
39460652,Stability of Sodium Pentobarbital 5w/v% Aqueous Solution During Short-Term Chilled and Ambient-Temperature Storage.,2024 Nov,"Dohi M, Ueda K, Yamagiwa Y, Yamashita A, Sakamoto Y",Vet Med Sci
39460266,Safety and Immunogenicity Study of a Bivalent Vaccine for Combined Prophylaxis of COVID-19 and Influenza in Non-Human Primates.,2024 Sep 26,"Stepanova E, Isakova-Sivak I, Matyushenko V, Mezhenskaya D, Kudryavtsev I, Kostromitina A, Chistiakova A, Rak A, Bazhenova E, Prokopenko P, Kotomina T, Donina S, Novitskaya V, Sivak K, Karal-Ogly D, Rudenko L",Vaccines (Basel)
39460261,A Scoping Review of Factors Affecting COVID-19 Vaccination Uptake and Deployment in Global Healthcare Systems.,2024 Sep 25,"Kandulu CC, Sahm LJ, Saab MM, O'Driscoll M, McCarthy M, Shorter GW, Berry E, Moore AC, Fleming A",Vaccines (Basel)
39460254,Formulation Attributes Impact Immune Profile of an Oral and Thermostable COVID-19 Subunit Vaccine.,2024 Sep 24,"Burlet E, Thomas N, Carwell S, Gershman BW, Morefield GL",Vaccines (Basel)
39420134,Systematic review and meta analysis of cross immunity and the smokers paradox in COVID19.,2024 Oct 17,"Gonzalez-Rubio J, Navarro-López JD, Jiménez-Díaz L, Najera A",Sci Rep
39370682,"Will COVID-19 become mild, like a cold?",2024 Oct 7,Shaw Stewart PD,Epidemiol Infect
39362028,Famotidine increases cellular phospho-tyrosine levels.,2024 Nov 19,"Zubiete-Franco I, Tonks NK",Biochem Biophys Res Commun
39328842,"Trends in medicine utilisation in public and private healthcare facilities before and during COVID-19: a nationwide analysis of medicine procurement and sales data, 2018-2022.",2024,"Ab Rahman N, Low EV, Lim AH, Ahmad Shanizza AI, Ho SW, Kamal M, Mohamad Yahaya AH, Sivasampu S",J Pharm Policy Pract
39324644,Novel Green Chromatographic Approaches for Estimation of a Triple Common Cold Pharmaceutical Combination.,2024 Sep 26,"Soliman RM, Rostom Y, Fayez YM, Mostafa NM, Monir HH",J Chromatogr Sci
39316925,"Microfluidic formulation, cryoprotection and long-term stability of paclitaxel-loaded π electron-stabilized polymeric micelles.",2024 Nov,"Mihyar R, Shalmani AA, Wildt V, Sheybanifard M, Wang A, May JN, Shahzad S, Buhl EM, Rütten S, Behrens D, Walther W, Tiboni M, Casettari L, Buyel JF, Rijcken CJF, Hennink WE, von Stillfried S, Kiessling F, Shi Y, Metselaar JM, Lammers T, Peña Q",J Control Release
39310912,"Can periodontitis affect the COVID-19 severity, symptoms, hospital stay, and mortality? A case-control study.",2024,"Macherla S, Chopra A, Ramanarayanan V, Das RS, Garg R",Front Public Health
39304597,Adult-onset severe paroxysmal cold hemoglobinuria after COVID-19 successfully treated with sutimlimab.,2024 Dec,"Sato K, Nakamura Y, Hara R, Kayama R, Sunohara S, Okajima S, Kazama S, Komaba W, Ishikawa R, Sumi M, Kobayashi H",Int J Hematol
39301087,Insights into the fluid dynamics of bioaerosol formation in a model respiratory tract.,2024 Sep,"Saha S, Manna MK, Chakravarty A, Sarkar S, Mukhopadhyay A, Sen S",Biomicrofluidics
39297204,"COVID-19 vaccine wastage in private and public healthcare facilities in KwaZulu-Natal, South Africa.",2025 Mar 4,"Manickum VK, Mathibe LJ",Int Health
39288377,From Fax to Secure File Transfer Protocol: The 25-Year Evolution of Real-Time Syndromic Surveillance in England.,2024 Sep 17,"Elliot AJ, Hughes HE, Harcourt SE, Smith S, Loveridge P, Morbey RA, Bains A, Edeghere O, Jones NR, Todkill D, Smith GE",J Med Internet Res
39283062,Beyond COVID: towards a transdisciplinary synthesis for understanding responses and developing pandemic preparedness in Alaska.,2024 Dec,"van Doren TP, Brown RA, Chi G, Cochran P, Cueva K, Eichelberger L, Fried R, Fritz S, Hahn MB, Heintz R, Holen D, Johnson N, Lavoie J, Maxwell E, McNair L, Nicewonger T, Orttung RW, Petrov AN, Powell JE",Int J Circumpolar Health
39272983,In Vitro Safety Study on the Use of Cold Atmospheric Plasma in the Upper Respiratory Tract.,2024 Aug 23,"Karrer S, Unger P, Gruber M, Gebhardt L, Schober R, Berneburg M, Bosserhoff AK, Arndt S",Cells
39267977,Comparison of sinonasal symptoms in upper respiratory tract infections during the infectious diseases season of November 2023 to March 2024-a cross-sectional study.,2024,"Straburzyński M, Romaszko-Wojtowicz A",Front Med (Lausanne)
39253918,Catalase: A Potential Pharmacologic Target for Hydrogen Peroxide in the Treatment of COVID-19.,2024,"Urakov A, Urakova N, Reshetnikov A, Shklyaev A, Nikolenko V, Osipov A, Klyachko N, Sorokina Y, Muhutdinov N, Okovityi S, Shabanov P",Curr Top Med Chem
39252712,Long-Term Interplay Between SARS-CoV-2 and Renal Impairment.,2024 Aug,"Vacaroiu IA, Șerban-Feier LF, Georgescu DE, Balan DG, Lupușoru MOD, Cuiban E, Mihai AD, Balcangiu-Stroescu AE",Cureus
39243065,Assessment of factors associated with self-medication practices during the COVID-19 pandemic in southwestern Ethiopia: a community-based cross-sectional survey.,2024 Sep 6,"Jifar WW, Oumer OM, Muhammed II, BaHammam AS",BMC Infect Dis
39230610,Harnessing AI for precision tonsillitis diagnosis: a revolutionary approach in endoscopic analysis.,2024 Dec,"Jeng PH, Yang CY, Huang TR, Kuo CF, Liu SC",Eur Arch Otorhinolaryngol
39224723,"Tracking KP.2 SARS-CoV-2 Variant in India and the Clinical Profile of KP.2 Cases in Maharashtra, India.",2024 Aug,"Karyakarte RP, Das R, Potdar V, Kulkarni B, Joy M, Mishra M, Bhagat J, Jagarwal K, Pawar P, More D, Chamy G, Dv V, Yanamandra S, Taji N, Gurav J, Joshi S",Cureus
39211711,Medical Students' Efforts to Address COVID-19 Vaccine Hesitancy Through Motivational Interviewing.,2024 Jul,"Garza K, Latta S, Larancuent C, Fu K, Brown-Whalen A, Eskra J, Baker JT, Helbig S, Maya J, Samarah H, Mondesir R, Desamour P, Busatto C, Brito S, Bhoite P, Anderson F",Cureus
39214930,Cold case: COVID-19-triggered type 1 cryoglobulinemia.,2024 Oct,"van Gils LAJL, Corsten MFM, Koelman CAC, Bosma RJR, Fijnheer RR, Mulder AHLL, Regelink JCJ",Ann Hematol
39209175,Sewerage surveillance tracking characteristics of human antibiotic resistance genes in sewer system.,2024 Nov 20,"Dong Q, Sun B, Liu Y, Huang X",Sci Total Environ
39207884,STING Agonist Induced Innate Immune Responses Drive Anti-Respiratory Virus Activity In Vitro with Limited Antiviral Efficacy In Vivo.,2024 Sep 13,"Broeckel R, Browne A, Sucoloski S, Cantizani J, Simpson JK, Pesiridis S, Ramanjulu JM, Stokes N, Luthra P",ACS Infect Dis
39189025,"Development of multidose thermotolerant formulations of a vector-based Covid-19 vaccine candidate, NDV-HXP-S in different product formats: Stability and preservative efficacy study.",2024 Oct,"Bzami A, Zhu C, Estrada M, White JA, Lal M",Vaccine X
39179953,"Respiratory Viral Infections from 2015 to 2022 in the HIVE Cohort of American Households: Incidence, illness characteristics, and seasonality.",2024 Aug 24,"Monto AS, Foster-Tucker JE, Callear AP, Leis AM, Godonou ET, Smith M, Truscon R, Johnson E, Thomas LJ, Thompson MS, Fry AM, Flannery B, Malosh RE, Petrie JG, Lauring AS, Martin ET",J Infect Dis
39173291,Navigating artificial intelligence in care homes: Competing stakeholder views of trust and logics of care.,2024 Oct,"Neves BB, Omori M, Petersen A, Vered M, Carter A",Soc Sci Med
39172037,Investigating the effect of reduced temperatures on the efficacy of rhabdovirus-based viral vector platforms.,2024 Aug,"Kakish JE, Mehrani Y, Kodeeswaran A, Geronimo K, Clark ME, van Vloten JP, Karimi K, Mallard BA, Meng B, Bridle BW, Knapp JP",J Gen Virol
39170891,Revealing the challenges and efforts of routine immunization coverage in Nigeria.,2024 Aug,Ogunniyi TJ,Health Sci Rep
39145142,Dry Swabs and Dried Saliva as Alternative Samples for SARS-CoV-2 Detection in Remote Areas in Lao PDR.,2024 Aug,"Sibounheuang B, Boutthasavong L, Chommanam D, Phommasone K, Panapruksachat S, Praphasiri V, Bouttavong S, Sisavath H, Christy NCV, Letizia AG, Mayxay M, Vongsouvath M, Ashley EA, Dubot-Pérès A",Open Forum Infect Dis
39139801,Olfactory perceptual fingerprints of people with olfactory dysfunction and healthy controls.,2024 Aug,"Drnovsek E, Haehner A, Bensafi M, Hummel T",Laryngoscope Investig Otolaryngol
39130731,In vitro comparison of viral replication and cytopathology induced by SARS-CoV-2 variants.,2024,"Phadke KS, Higdon NBA, Bellaire BH",Access Microbiol
39126905,Cold-hot Janus electrochemical aptamer-based sensor for calibration-free determination of biomolecules.,2024 Nov 15,"Feng L, Gao RY, Chen ZM, Qin SN, Cao YJ, Salminen K, Sun JJ, Wu SH",Biosens Bioelectron
39116324,Intranasal Multiepitope PD-L1-siRNA-Based Nanovaccine: The Next-Gen COVID-19 Immunotherapy.,2024 Oct,"Acúrcio RC, Kleiner R, Vaskovich-Koubi D, Carreira B, Liubomirski Y, Palma C, Yeheskel A, Yeini E, Viana AS, Ferreira V, Araújo C, Mor M, Freund NT, Bacharach E, Gonçalves J, Toister-Achituv M, Fabregue M, Matthieu S, Guerry C, Zarubica A, Aviel-Ronen S, Florindo HF, Satchi-Fainaro R",Adv Sci (Weinh)
39115460,Primary Team Versus Local Recovery in Liver Transplantation in the Modern Era: A National Analysis of the United Network for Organ Sharing Database.,2024 Aug,"Whitrock JN, Sisak S, Pratt CG, Delman AM, Price AD, Wima K, Shah SA, Quillin RC 3rd",Clin Transplant
39113828,Global Epidemiology and Seasonality of Human Seasonal Coronaviruses: A Systematic Review.,2024 Aug,"Wilson R, Kovacs D, Crosby M, Ho A",Open Forum Infect Dis
